county,total,popestimate2014,market_per_capita
Le Flore,1,3878051,0
Carlton,1,5457173,0
Woodford,1,12880580,0
Putnam,1,19746227,0
Greene,5,19746227,0
Clearwater,1,1634464,0
Crenshaw,1,4849377,0
Ouachita,1,4649676,0
Salt Lake,2,2942902,0
Newton,1,6063589,0
Cole,1,6063589,0
Neshoba,2,2994079,0
Portsmouth,1,8326289,0
Shelby,7,4849377,0
Polk,5,5757564,0
Fond du Lac,2,5757564,0
Forest,1,12787209,0
Jefferson,1,19893297,0
Person,1,9943964,0
Penobscot,5,1330089,0
White,2,2966369,0
WILCOX,1,4849377,0
Wise,1,8326289,0
Lake of the Woods,1,5457173,0
Denton,2,26956958,0
Knox,2,11594163,0
Hocking,1,11594163,0
Wexford,1,9909877,0
Upson,1,10097343,0
Crawford,1,2904021,0
Monroe,3,6596855,0
Newaygo,3,9909877,0
Platte,1,584153,0
,6,3596677,0
Calaveras,2,38802500,0
BUTLER,1,4849377,0
Inyo,3,38802500,0
Santa Barbara,4,38802500,0
Suffolk,18,6745408,0
Defiance,3,11594163,0
Columbia,1,3970239,0
Austin,1,26956958,0
Clearwater,1,5457173,0
,20,5355866,0
DeSoto,2,2994079,0
AMADOR,1,38802500,0
Butler,1,4849377,0
Jackson,4,9909877,0
Pottawattamie,1,3107126,0
Benzie,4,9909877,0
Fauquier,2,8326289,0
St. Croix,2,5757564,0
Lafourche,1,4649676,0
Henry,2,6063589,0
Washington,1,4849377,0
Fresno,12,38802500,0
Pend Oreille,1,7061530,0
Jefferson,1,2904021,0
Walworth,5,5757564,0
Grant,1,1850326,0
Victoria,1,26956958,0
Dawson,3,1881503,0
Brown,1,11594163,0
Collin,4,26956958,0
Wyoming,2,19746227,0
Sherburne,1,5457173,0
Pocahontas,3,3107126,0
Jones,2,3107126,0
Madison,1,1634464,0
Anderson,1,6596855,0
Gladwin,1,9909877,0
Cumberland,12,1330089,0
Madison,2,2994079,0
Auglaize,1,11594163,0
Lampasas,1,26956958,0
