fmid,latitude,longitude
1001737,42.0467,-92.9096
1000514,43.1282,-92.9022
1007230,43.892442,-92.846081
1008747,38.431414,-92.841027
1002924,43.2879,-92.8139
1004869,40.89085,-92.813526
1001243,41.027,-92.8041
1004247,41.7673,-92.765
1008545,38.007471,-92.744576
1008161,38.008125,-92.74425
1003204,35.151081,-92.743552
1006934,42.1877,-92.7169
1005777,36.225615,-92.681973
1005756,37.6798148,-92.662835
1002962,41.2951,-92.6495
1002961,41.2946,-92.6419
1008550,37.681434,-92.635831
1008703,38.297467,-92.605401
1008594,40.194697,-92.584302
1008541,38.348364,-92.581576
20270,35.8295,-92.5603
1001282,43.3638272,-92.5560624
1004147,36.2712,-92.5354
1008731,44.079535,-92.514655
1008733,44.005615,-92.511603
1008583,37.250927,-92.510212
1002689,40.4858,-92.5
1005162,42.7318,-92.4714
1006157,39.72005,-92.4668
1000796,42.1933,-92.4656
1002756,44.000239,-92.461174
20331,35.6163,-92.4595
1002755,44.019283,-92.457547
1008480,35.091704,-92.449952
1006174,35.0771,-92.4441
1007327,43.2455,-92.4351
1001255,41.016,-92.4259
1005617,41.0137,-92.4154
1005227,37.1083858,-92.4148865
1001882,40.751418,-92.414374
1001883,40.751572,-92.414246
1005222,37.8569838,-92.4043396
1006408,42.5053323,-92.4038187
1002165,36.3262,-92.3814
20172,42.4694,-92.357
1002362,42.5095,-92.3537
1007243,42.4956,-92.3421
1002216,43.3568,-92.3172
1005023,42.1718,-92.3063
1002729,42.477541,-92.29019
1008532,36.7038612365723,-92.2781066894531
1004250,42.8056,-92.2582
1003557,37.8287,-92.2007
1001386,40.4581,-92.1703
1006723,43.371,-92.1187
1001529,37.121403,-92.101092
1005919,43.215719,-92.09093
1008702,40.308985,-92.088776
1006808,42.475543,-92.063788
1001952,39.705866,-92.037706
1005242,42.1649,-92.0216
1000686,41.6615,-92.0092
1008757,38.440436,-92.000164
1004130,41.010184,-91.96312
1000506,40.7246,-91.9552
1000421,36.0595,-91.9085
1001792,42.6833,-91.9082
1003275,42.4687237,-91.8950212
1004500,41.1782,-91.8856
1005153,41.7613,-91.8777
1001278,42.223913,-91.873764
1003008,42.0929,-91.8707
1003938,43.183585,-91.864048
1001513,40.6979,-91.8019
1006386,43.3049,-91.7848
1008694,37.922004,-91.780263
1000257,40.3994,-91.7627
1008537,37.95036,-91.761915
1004131,40.6399131,-91.7440671
1001583,35.2464,-91.7376
1001093,41.2988,-91.6923
1005512,42.0385,-91.6803
1004159,42.9573,-91.6269
1001584,35.2039,-91.6124
1002235,42.032513,-91.598732
1000108,41.8733833,-91.5858693
1000107,41.87162,-91.58502
1006525,41.67865,-91.584392
1000222,42.6445,-91.5679
1000635,40.6462,-91.5645
1000630,37.648,-91.5381
1008671,38.352367,-91.487223
1001962,43.2569,-91.4742
1000956,42.4826,-91.4634
1004114,42.484,-91.4543
1004318,42.060748,-91.442835
1006707,41.9217,-91.4035
1008695,38.062823,-91.403483
1008547,38.062823,-91.403483
1008673,36.694025,-91.398622
1001458,43.0447,-91.3898
1003055,42.1083,-91.2795
1003977,35.6062953,-91.2778566
1003535,41.9061,-91.2527
1006980,38.1544686,-91.2462077
1003060,42.2363,-91.185
1008736,38.210331,-91.168592
1000115,41.7647,-91.1361
1004897,41.7694,-91.1284
1003849,42.48014,-91.11279
1001081,36.0453,-91.022
1002636,42.298616,-91.014862
1008488,38.444743,-91.004716
1004634,36.235,-90.9597
1007847,36.0711,-90.9591
1005590,36.6929,-90.8294
1008559,36.61769,-90.825972
1002637,42.4794,-90.7949
1005894,37.9358,-90.7938
1007226,35.22325,-90.78618
1001245,35.840745,-90.667386
1005635,35.8211,-90.6608
1000558,37.5945109,-90.6278618
1005171,36.0562,-90.4825
1000408,37.827752,-90.416107
1001405,37.78189,-90.407528
1008674,38.286558,-90.391476
1002835,36.382,-90.1796
1006747,36.2368,-90.0562
1000285,35.959007,-89.964831
1005232,36.880682,-89.9298107
1001435,37.39263,-89.673157
1005155,37.3828,-89.6671
1001131,36.8767,-89.5887
