longitude,latitude
-86.4523,32.4693
-86.7428,31.6396
-87.9019749,30.5244349
-87.59908,30.41395
-87.683301,30.407081
-85.1431,31.8929
-85.6823,31.628
-85.6105,31.7088
-87.1386,32.9446
-86.4702404290438,33.9443186670542
-86.7419,31.6371
-85.760351,33.813512
-85.830946,33.666443
-85.832,33.6625
-85.16991,32.80821
-85.6673,34.1573
-88.2376,32.0938
-87.893672,31.526751
-85.8491,33.2472
-85.5512,33.5822
-85.858948,31.32027
-87.6946,34.7597
-86.956701,31.433057
-86.3252,31.0063
-86.2571,31.2807
-86.2846,31.7433
-86.84426,34.17933
-85.589,34.5791
-85.71456,31.307407
-85.6402,31.4587
-87.039034,32.4056
-85.8124,34.5434
-86.2328,32.5367
-87.4926,31.0243
-87.07143,31.108611
-87.26,31.0015
-85.934714,33.957828
-86.004,34.0029
-86.090988,34.019132
-87.8079,33.7322
-87.7328,34.5045
-87.8294,32.6128
-87.8816179,32.8340744
-85.2466,31.5633
-85.3418,31.3522
-87.579575,32.699164
-85.450141,31.232699
-85.390463,31.223592
-85.374928,31.194503
-86.8302,33.4607
-86.7907,33.4796
-86.9935,33.3886
-86.0641,34.6932
-86.7912,33.5163
-86.6077,33.6297
-86.83628,33.54057
-86.7083,33.5388
-86.7246,33.5615
-86.803103,33.506058
-86.881,33.3927
-86.5708,33.6024
-86.54514,33.54512
-86.808933,33.524519
-86.81045,33.647407
-88.1059,33.7568
-87.6375,34.8933
-87.285562,34.504965
-85.599285,32.604332
-85.377395,32.645103
-86.9735,34.8013
-86.6811,32.1887
-88.186,30.661
-87.3244,31.5269
-85.693445,32.425706
-86.6745,34.7174
-86.583226,34.73064
-86.598946,34.743321
-86.741779,34.740094
-87.8346,32.5148
-87.6255,32.2666
-88.019573,34.156276
-88.0161,34.1554
-86.206775,34.267096
-86.495876,34.320401
-86.345,34.3652
-86.1621,34.196
-88.066489,30.693722
-88.1551,30.7043
-88.1933,30.6494
-88.0961,30.6609
-86.363,32.3465
-86.2627,32.4072
-86.2952,32.3803
-86.164629,32.359728
-87.0233,34.6113
-86.9333,34.4339
-87.513102,32.450299
-87.319054,32.632954
-88.091622,33.279078
-87.9028,33.3185
-85.9714,31.8092
-86.6302,33.4075
-86.76804,33.096
-86.6303,33.4077
-86.733778,33.383472
-86.863,33.1003
-86.808493,33.357255
-86.8436,33.2947
-86.62,33.1795
-88.1884,32.5833
-86.251829,33.173631
-85.7761,33.3077
-85.8846,32.5332
-87.591044,33.219446
